numero_processo,taxa_vitoria,incerteza,valor_da_causa
1764352-89.2025.8.06.1818,0.6029999796201303,0.5249226832350083,13534.0
5638325-36.2025.8.17.4124,0.6040361837042435,0.5249220041792868,7883.63
1037491-89.2025.8.18.1658,0.6853829531172009,0.5134977613170866,8561.97
9547931-23.2025.8.04.4188,0.9643174663161629,0.21717588039235247,5693.13
9999446-69.2025.8.04.4264,0.613697268814994,0.5247422212785393,8515.67
2412149-28.2025.8.24.1145,0.7260352989477803,0.5030194778154045,16961.06
8874499-95.2025.8.07.3223,0.8002869736672736,0.2908219489365576,11180.0
6064536-08.2025.8.05.2439,0.6030072874444332,0.5249226832101822,16021.5
6140081-15.2025.8.25.2962,0.9819618245372084,0.18839393879689958,22470.81
4240001-27.2025.8.10.0476,0.9653422943810414,0.21429050122676369,8658.46
4060328-48.2025.8.03.5952,0.6030613005742432,0.5249226769773222,18988.78
3958810-04.2025.8.11.6659,0.6030000000000002,0.5249226832350087,25650.47
7535845-01.2025.8.20.6188,0.7025802559970798,0.17765881350910356,11076.15
2778665-68.2025.8.14.3195,0.9814724617766252,0.19922224487485643,15764.1
2401594-98.2025.8.21.9938,0.0,0.2766286148607493,9778.55
1996289-38.2025.8.13.1427,0.19901167524128616,0.3897007092955493,22052.77
6525750-71.2025.8.07.2464,0.6862644280920419,0.5097646400202067,22474.21
8242761-70.2025.8.25.4530,0.9656545878108527,0.25097805098966186,19419.34
5764134-07.2025.8.09.1923,0.5794901752322235,0.5242172765940851,13427.87
2745205-35.2025.8.02.4268,0.26719702592117134,0.3710978455812564,10689.49
4457574-26.2025.8.25.5559,0.9904686697545895,0.34749661271617266,15826.02
5899277-63.2025.8.24.0095,0.22964833059673534,0.43814133125186083,12747.7
4937049-13.2025.8.04.5655,0.603,0.5249226832350087,25663.74
5250775-41.2025.8.21.7819,0.8033818688855952,0.4527608094339732,11450.14
8968643-90.2025.8.17.4196,0.6030000000003014,0.5249226832350087,9593.1
3560488-21.2025.8.20.3063,0.8263376561086672,0.4339846387453701,15421.07
6499469-09.2025.8.12.9260,0.6030102907317851,0.5249226830577678,18043.36
7893459-62.2025.8.03.6963,0.17742923527390303,0.2861031209183451,10382.46
1692558-47.2025.8.22.3884,0.08302243764433181,0.35370247670269744,11237.1
7993277-24.2025.8.12.8327,0.8338851973673799,0.3770511646792119,15811.6
2905818-71.2025.8.25.6327,0.5857929478809837,0.5247089202609337,18151.26
4677301-60.2025.8.26.9537,0.6019375846229603,0.5249205466193245,13297.36
2130223-97.2025.8.14.0588,0.7483279854668737,0.24382461276014097,15635.0
1157075-12.2025.8.02.5425,0.7134387250025571,0.48801610147097796,11407.7
3856154-88.2025.8.16.3659,0.35200587358643903,0.20791531284859407,21787.62
7336153-17.2025.8.04.8332,0.09936446291782908,0.28866587334026356,4607.8
4907807-90.2025.8.21.2049,0.6029999995101469,0.5249226832350087,14570.36
7777075-57.2025.8.05.7238,0.6030019314319606,0.5249226832287965,23946.4
3087363-18.2025.8.01.6040,0.6030000000000009,0.5249226832350087,17891.8
8067389-33.2025.8.09.6205,0.9981916885302617,0.27205815964891217,15098.36
5670220-02.2025.8.16.3360,0.576553548873163,0.5246021094590717,16937.61
4488778-24.2025.8.05.0365,0.7985980516360234,0.398800997293293,16167.43
3977227-33.2025.8.26.3787,0.6030014038674382,0.5249226832340875,16005.26
2193662-31.2025.8.21.5489,0.1608857824077461,0.356316749337826,11389.73
7254509-93.2025.8.13.6622,0.8654656459596635,0.3980821684456381,21362.89
4111030-08.2025.8.19.2954,0.9598997610353757,0.22785809301528917,12681.5
9474303-36.2025.8.11.5936,0.9666147105217187,0.2140013975039247,19690.8
8265089-30.2025.8.05.0968,0.603,0.5249226832350087,6353.89
7482626-28.2025.8.21.5864,0.7865986812623964,0.4162069643737144,13224.83
5722231-63.2025.8.12.6403,0.6030072509016647,0.5249226831474562,22278.0
4375572-31.2025.8.03.7754,0.6030000107441186,0.5249226832350085,16037.69
1126172-80.2025.8.25.1383,0.6059077992557705,0.524908601696063,8798.85
4379428-87.2025.8.27.6305,0.8942073097381571,0.36564301334954197,11537.54
9052544-12.2025.8.18.3595,0.8831765675388714,0.2709342190762408,12254.54
1160202-57.2025.8.07.2189,0.9076801573371804,0.2850701314530037,12945.85
5377838-64.2025.8.22.1960,0.7813498386572242,0.46863500774783917,11445.13
4664636-83.2025.8.24.3322,0.603,0.5249226832350087,23790.93
1036167-99.2025.8.18.7221,0.6030000002695516,0.5249226832350087,16008.46
4713499-59.2025.8.01.9891,0.06789206210168841,0.20862923281844145,12450.0
